first_order_month,month0,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11
2020-01-01,67,3,8,13,9,4,9,9,16,9,16,18
2020-02-01,50,6,6,6,7,4,6,17,10,15,15,0
2020-03-01,101,13,15,13,15,14,27,20,27,23,0,0
2020-04-01,77,12,15,13,12,20,13,22,26,0,0,0
2020-05-01,71,9,10,12,17,11,26,17,0,0,0,0
2020-06-01,70,6,12,18,12,17,15,0,0,0,0,0
2020-07-01,45,7,9,9,10,11,0,0,0,0,0,0
2020-08-01,32,9,5,17,9,0,0,0,0,0,0,0
2020-09-01,63,8,15,8,0,0,0,0,0,0,0,0
2020-10-01,39,6,9,0,0,0,0,0,0,0,0,0
2020-11-01,45,11,0,0,0,0,0,0,0,0,0,0
2020-12-01,33,0,0,0,0,0,0,0,0,0,0,0
