"week","weekly_active_user"
"2014-04-28 00:00:00",701
"2014-05-05 00:00:00",1054
"2014-05-12 00:00:00",1094
"2014-05-19 00:00:00",1147
"2014-05-26 00:00:00",1113
"2014-06-02 00:00:00",1173
"2014-06-09 00:00:00",1219
"2014-06-16 00:00:00",1263
"2014-06-23 00:00:00",1249
"2014-06-30 00:00:00",1271
"2014-07-07 00:00:00",1355
"2014-07-14 00:00:00",1345
"2014-07-21 00:00:00",1363
"2014-07-28 00:00:00",1443
"2014-08-04 00:00:00",1266
"2014-08-11 00:00:00",1215
"2014-08-18 00:00:00",1203
"2014-08-25 00:00:00",272
